brand,name,product_type,ingredient,price,rank
LA MER,The Moisturizing Soft Cream,Moisturizer,SODIUM HYALURONATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,LAURETH-7,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,LECITHIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,TREHALOSE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,POLYQUATERNIUM-51,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,LACTOPEROXIDASE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,HYDROXYPROPYL CYCLODEXTRIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CYANOCOBALAMIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,PENTYLENE GLYCOL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,FRAGRANCE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,DISODIUM EDTA,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,BHT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CITRONELLOL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,HYDROXYCITRONELLAL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GERANIOL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,LINALOOL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,LIMONENE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,POTASSIUM SORBATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,PHENOXYETHANOL,175,3.8
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,WATER,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,SNAIL SECRETION FILTRATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PHENYL TRIMETHICONE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,DIMETHICONE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,BUTYLENE GLYCOL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,ORBIGNYA OLEIFERA SEED OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,BUTYLOCTYL SALICYLATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CETYL PEG/PPG-10/1 DIMETHICONE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CYCLOPENTASILOXANE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CYCLOHEXASILOXANE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,MAGNESIUM SULFATE,38,4.1
