ingredient,cmr,product_type
ACID RED 52,,Hair Dye Substance In Oxidative Hair Dye Products
ACID RED 52,,Hair Dye Substance In Non-Oxidative Hair Dye Products
GLYOXAL,Mutagenic Cat. 2(when conc.> or equal 1%),
ACID BLUE 62,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC BLUE NO. 11,,Hair Dye Substance In Non-Oxidative Hair Dye Products
LIPPIA CITRIODORA ABSOLUTE,,
ETHYL LAUROYL ARGINATE HCL,,Soap
ETHYL LAUROYL ARGINATE HCL,,Anti- Dandruff Shampoos
ETHYL LAUROYL ARGINATE HCL,,"Deodorants, Not In Form Of Spray"
"N,N-BIS(2-HYDROXYETHYL)- P-PHENYLENEDIAMINE SULFATE",,Hair Dye Substance In Oxidative Hair Dye Products
4- CHLORORESORCINOL,,Hair Dye Substance In Oxidative Hair Dye Products
HC VIOLET NO. 2,,Hair Dye Substance In Non-Oxidative Hair Dye Products
TETRAAMINOPYRIMIDINE SULFATE,,Hair Dye Substance In Oxidative Hair Dye Products
TETRAAMINOPYRIMIDINE SULFATE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
TETRAAMINOPYRIMIDINE SULFATE,,Products In­Tended For Col­Ouring Eyelashes
2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,,A) Hair Dye Substance In Oxidative Hair Dye Product B) Hair Dye Substance In Non-Oxidative Hair Dye Product
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",,Hair Dye Substance In Oxidative Hair Dye Products
6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL,,Hair Dye Substance In Oxidative Hair Dye Products
6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL,,Hair Dye Substance In Non-Oxidative Hair Dye Products
6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL,,Products Intended For Colouring Eyelashes
DIHYDROXYINDOLINE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
4-HYDROXYPROPYLAMINO-3-NITROPHENOL,,Hair Dye Substance In Oxidative Hair Dye Products
4-HYDROXYPROPYLAMINO-3-NITROPHENOL,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HYDROXYETHYL-P-PHENYLENE-DIAMINE SULFATE,,Hair Dye Sub­Stance In Oxidat­Ive Hair Dye Products
HYDROXYETHYL-P-PHENYLENE-DIAMINE SULFATE,,Products In­Tended For Col­Ouring Eyelashes
DIHYDROXY-INDOLE,,Hair Dye Substance In Oxidative Hair Dye Products
HC ORANGE NO. 2,,Hair Dye Substance In Non-Oxidative Hair Dye Products
5-AMINO-4-CHLORO-O-CRESOL HCL,,Hair Dye Substance In Oxidative Hair Dye Products
6-HYDROXY-INDOLE,,Hair Dye Substance In Oxidative Hair Dye Products
ISATIN,,Hair Dye Substance In Non-Oxidative Hair Dye Products
2-AMINO-3-HYDROXYPYRIDINE,,Hair Dye Sub­Stance In Oxidat­Ive Hair Dye Products
2-AMINO-3-HYDROXYPYRIDINE,,Products In­Tended For Col­Ouring Eyelashes
1-ACETOXY-2-METHYLNAPH-THALENE,,Hair Dye Substance In Oxidative Hair Dye Products
2-METHYL-1-NAPHTHOL,,Hair Dye Substance In Oxidative Hair Dye Products
ACID YELLOW 1,,Hair Dye Substance In Oxidative Hair Dye Products
ACID YELLOW 1,,Hair Dye Substance In Non-Oxidative Hair Dye Products
4-AMINO-3-NITROPHENOL,,Hair Dye Substance In Oxidative Hair Dye Products
4-AMINO-3-NITROPHENOL,,Hair Dye Substance In Non-Oxidative Hair Dye Products
"2,7-NAPHTHALENEDIOL",,Hair Dye Substance In Oxidative Hair Dye Products
