product_name,brand,ingredients_text,categories,country,barcode,source
"Universal, Nectar Mix, Soursop",International Cosmetics Development,"Sugar, citric acid (for tartness), xanthan gum (stabilizer), sodium citrate (controls acidity), titanium dioxide (cloudifier), artificial soursop flavor, aspartame* and acesulfame k (sweeteners), ascorbic acid (vitamin c), silicon dioxide (anticaking agent).","Beverages, Dried products, Dried products to be rehydrated, Dehydrated beverages",United States,0752230001837,open_beauty_facts_api
"Protein Bar, chocolate brownie","Powerbar,United Cosmetics  Inc.","Trisource protein blend (soy protein isolate, calcium caseinate, whey protein isolate), maltitol syrup, chocolate flavored coating (sugar, fractionated palm kernel oil, cocoa powder, whey, nonfat milk, soy lecithin, natural flavor), cane invert syrup, fru","Snacks, Dietary supplements, Bodybuilding supplements, Protein bars",United States,09740846,open_beauty_facts_api
,Angel Cosmetics,,"Lait clarifiant, Lait corporelle",Schweiz,2000000064518,open_beauty_facts_api
day by day,dreams cosmetics,,,Côte d'Ivoire,6181100531145,open_beauty_facts_api
120 Round Cosmetic Pads,null,PS... 120 OUND OSMETIC PA 100% Cotto deal for make-up remoial & facial cleansing,,en:United Kingdom,5397206966960,open_beauty_facts_api
Cosmetic Buds,Boots,,,en:United Kingdom,5045096871696,open_beauty_facts_api
Extra Dimension Skinfinish,MAC Cosmetics,,,en:Canada,0773602298563,open_beauty_facts_api
Soft Cotton Wool Cosmetic Pads,Soft & Pure,,,en:United Kingdom,5010058011236,open_beauty_facts_api
Double Faced Cosmetic Round Pads,Boots,,,en:United Kingdom,5045098427839,open_beauty_facts_api
Cosmetic Tipped Cotton Buds,Essential Waitrose,,,en:United Kingdom,5000169085899,open_beauty_facts_api
Flüssigseife,Hbsc Cosmetic,,,en:germany,4260344460809,open_beauty_facts_api
Naturals Organic Cosmetic Pads,Primark,,Plant-based foods and beverages,en:United Kingdom,5397206452074,open_beauty_facts_api
cosmetic cotton buds,PS (Primark),,,en:United Kingdom,5397208531593,open_beauty_facts_api
Wattepads Maxi,Natural Cosmetics,,,en:germany,7613331269812,open_beauty_facts_api
Tägliches Waschpeeling,Ombia Cosmetics,,,en:germany,4099200016177,open_beauty_facts_api
Oval Cosmetic Pads,Primark,,,en:United Kingdom,5397206966984,open_beauty_facts_api
Kiss Beauty Cosmetics Eyeshadow Primer,,No ingredient,,en:United States,6903072329045,open_beauty_facts_api
Sour cream Litovskaya,Svalia,food,food and cosmetics,jp,4770237044103,open_beauty_facts_api
Cosmetics,,,,en:Ethiopia,6291103983435,open_beauty_facts_api
Zinc Oxide Powder,ETC Cosmetic,,,en:Italy,5949106790666,open_beauty_facts_api
ANGEL COSMETICS 9-501101375987,,,,en:france,9501101375987,open_beauty_facts_api
polvo compacto,Samantha cosmetics,,,en:Peru,6924269723491,open_beauty_facts_api
Deo Stick,Eco Cosmetics,,,en:germany,4033981722087,open_beauty_facts_api
